赛区,学校,战队,兵种,MVP次数
2026全国赛,合肥工业大学（宣城校区）,WDR,飞镖,0
2026全国赛,浙江大学,Hello World,英雄,0
2026全国赛,浙江大学,Hello World,步兵3,0
2026全国赛,浙江大学,Hello World,步兵4,0
2026全国赛,浙江大学,Hello World,哨兵,0
2026全国赛,浙江大学,Hello World,无人机,1
2026全国赛,浙江大学,Hello World,雷达,0
2026全国赛,浙江大学,Hello World,工程,0
2026全国赛,浙江大学,Hello World,飞镖,2
2026全国赛,北京理工大学（珠海）,毅恒,英雄,0
2026全国赛,北京理工大学（珠海）,毅恒,步兵3,0
2026全国赛,北京理工大学（珠海）,毅恒,步兵4,0
2026全国赛,北京理工大学（珠海）,毅恒,哨兵,0
2026全国赛,北京理工大学（珠海）,毅恒,无人机,0
2026全国赛,北京理工大学（珠海）,毅恒,雷达,0
2026全国赛,北京理工大学（珠海）,毅恒,工程,0
2026全国赛,北京理工大学（珠海）,毅恒,飞镖,0
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,英雄,3
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,步兵3,2
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,步兵4,0
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,哨兵,0
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,无人机,1
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,雷达,1
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,工程,1
2026全国赛,哈尔滨工业大学（深圳）,南工骁鹰,飞镖,0
2026全国赛,华东理工大学,起源,英雄,2
2026全国赛,华东理工大学,起源,步兵3,5
2026全国赛,华东理工大学,起源,步兵4,1
2026全国赛,华东理工大学,起源,哨兵,0
2026全国赛,华东理工大学,起源,无人机,0
2026全国赛,华东理工大学,起源,雷达,0
2026全国赛,华东理工大学,起源,工程,1
2026全国赛,华东理工大学,起源,飞镖,12
2026全国赛,南京理工大学,Alliance,英雄,1
2026全国赛,南京理工大学,Alliance,步兵3,1
2026全国赛,南京理工大学,Alliance,步兵4,1
2026全国赛,南京理工大学,Alliance,哨兵,2
2026全国赛,南京理工大学,Alliance,无人机,0
2026全国赛,南京理工大学,Alliance,雷达,0
2026全国赛,南京理工大学,Alliance,工程,1
2026全国赛,南京理工大学,Alliance,飞镖,0
2026全国赛,东北大学,TDT,英雄,1
2026全国赛,东北大学,TDT,步兵3,1
2026全国赛,东北大学,TDT,步兵4,2
2026全国赛,东北大学,TDT,哨兵,9
2026全国赛,东北大学,TDT,无人机,6
2026全国赛,东北大学,TDT,雷达,4
2026全国赛,东北大学,TDT,工程,0
2026全国赛,东北大学,TDT,飞镖,3
2026全国赛,哈尔滨工业大学,I Hiter,英雄,0
2026全国赛,哈尔滨工业大学,I Hiter,步兵3,0
2026全国赛,哈尔滨工业大学,I Hiter,步兵4,1
2026全国赛,哈尔滨工业大学,I Hiter,哨兵,0
2026全国赛,哈尔滨工业大学,I Hiter,无人机,0
2026全国赛,哈尔滨工业大学,I Hiter,雷达,0
2026全国赛,哈尔滨工业大学,I Hiter,工程,3
2026全国赛,哈尔滨工业大学,I Hiter,飞镖,1
2026全国赛,哈尔滨工业大学（威海）,HERO,英雄,1
2026全国赛,哈尔滨工业大学（威海）,HERO,步兵3,3
2026全国赛,哈尔滨工业大学（威海）,HERO,步兵4,1
2026全国赛,哈尔滨工业大学（威海）,HERO,哨兵,0
2026全国赛,哈尔滨工业大学（威海）,HERO,无人机,3
2026全国赛,哈尔滨工业大学（威海）,HERO,雷达,2
2026全国赛,哈尔滨工业大学（威海）,HERO,工程,1
2026全国赛,哈尔滨工业大学（威海）,HERO,飞镖,5
2026全国赛,西北工业大学,WMJ,英雄,0
2026全国赛,西北工业大学,WMJ,步兵3,0
2026全国赛,西北工业大学,WMJ,步兵4,0
2026全国赛,西北工业大学,WMJ,哨兵,0
2026全国赛,西北工业大学,WMJ,无人机,0
2026全国赛,西北工业大学,WMJ,雷达,1
2026全国赛,西北工业大学,WMJ,工程,0
2026全国赛,西北工业大学,WMJ,飞镖,1
2026全国赛,北京理工大学,追梦,英雄,3
2026全国赛,北京理工大学,追梦,步兵3,1
