赛区,学校,战队,兵种,MVP次数
2026复活赛,沈阳理工大学,Ambition,步兵4,0
2026复活赛,沈阳理工大学,Ambition,哨兵,0
2026复活赛,沈阳理工大学,Ambition,无人机,2
2026复活赛,沈阳理工大学,Ambition,雷达,0
2026复活赛,沈阳理工大学,Ambition,工程,1
2026复活赛,沈阳理工大学,Ambition,飞镖,4
2026复活赛,西安电子科技大学,IRobot,英雄,0
2026复活赛,西安电子科技大学,IRobot,步兵3,0
2026复活赛,西安电子科技大学,IRobot,步兵4,0
2026复活赛,西安电子科技大学,IRobot,哨兵,0
2026复活赛,西安电子科技大学,IRobot,无人机,0
2026复活赛,西安电子科技大学,IRobot,雷达,0
2026复活赛,西安电子科技大学,IRobot,工程,0
2026复活赛,西安电子科技大学,IRobot,飞镖,0
2026复活赛,应急管理大学,风暴,英雄,0
2026复活赛,应急管理大学,风暴,步兵3,2
2026复活赛,应急管理大学,风暴,步兵4,3
2026复活赛,应急管理大学,风暴,哨兵,2
2026复活赛,应急管理大学,风暴,无人机,0
2026复活赛,应急管理大学,风暴,雷达,0
2026复活赛,应急管理大学,风暴,工程,3
2026复活赛,应急管理大学,风暴,飞镖,0
